timestamp,position_0,position_1,position_2,position_3,position_4,position_5,position_6,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,effort_0,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6
1,825,0000,-364,0000,662,0000,783,0000,-899,0000,-814,0000,963,0000,6,2700,5,6700,-108,0000,-13,5000,-200,0000,-137,0000,448,0000,-0.79731956,10313714,0000,0.40327492,-0.64658412,-0.017607498,0.04772649,0.12448938
2,82,4000,-364,0000,661,0000,78,3000,-897,0000,-81,3000,959,0000,-54,9000,-14,5000,-14,6000,49,2000,31,4000,10,2000,-60,6000,-0.80246356,10596634,0000,0.40327492,-0.64792837,-0.011444874,0.046057732,0.12615813
3,82,4000,-364,0000,662,0000,78,3000,-897,0000,-81,3000,957,0000,-43,9000,-11,6000,2,9700,0,0394,25,1000,8,1600,-228,0000,-0.79989156,10390874,0000,0.40730767,-0.64658412,-0.015846748,0.049061497,0.12448938
4,825,0000,-364,0000,664,0000,78,3000,-897,0000,-81,3000,959,0000,24,8000,-9,3100,182,0000,0,3150,20,1000,6,5300,-0,2850,-0.80246356,10416594,0000,0.40730767,-0.64389562,-0.013205624,0.049061497,0.12415562
5,825,0000,-364,0000,664,0000,78,3000,-895,0000,-81,3000,959,0000,19,8000,-7,4500,146,0000,2,5200,20,8000,5,2200,-2,2800,-0.82303955,10570914,0000,0.40730767,-0.64658412,-0.014085999,0.048393993,0.12582438
6,823,0000,-391,0000,662,0000,812,0000,-903,0000,-822,0000,944,0000,-164,0000,-0.00026424974,-123,0000,0.00028963592,-601,0000,-955,0000,-0.00014998617,-0.79731956,11419674,0000,0.40193067,-0.7164851,-0.0044018745,0.054067772,0.13016315
7,820,0000,-454,0000,654,0000,810,0000,-810,0000,-774,0000,982,0000,-431,0000,-0.00084058008,-818,0000,0.00020773227,0.00088192377,0.00040300137,0.00026351444,-0.76902758,16177871,0000,0.44360241,-0.69632136,-0.085396366,0.045056477,0.096454235
8,811,0000,-589,0000,0,6150,809,0000,-492,0000,-549,0000,0.00013823804,-0.00012433851,-0.0020266759,-0.00045489355,0.00016019716,0.0038885483,0.0025754357,0.0042135387,-0.7253036,22582148,0000,0.42075016,-0.66809211,-0.094200115,-0.03771394,0.042052711
9,797,0000,-945,0000,509,0000,0.00010078731,127,0000,-163,0000,0.00024567658,-0.00023728637,-0.0051806561,-0.0014245187,0.0021175385,0.0092946973,0.0059192715,0.014114685,-0.62242366,33435982,0000,0.48527415,-10740555,0000,-0.15230486,-0.19624599,-0.048727745
10,79,0000,-0.00016004931,327,0000,0.0001475857,0.00010843329,385,0000,0.00044341628,-0.00026173666,-0.010699894,-0.0029672147,0.0063738694,0.017013549,0.010212206,0.031065718,-0.61470766,53394691,0000,0.52560164,-18335566,0000,-0.017607498,-0.29069771,-0.040383953
11,804,0000,-0.00024771393,47,3000,0.00022572289,0.00023690419,0.00010761831,0.00072486589,-716,0000,-0.017326377,-0.0051660913,0.012912815,0.026457928,0.015084661,0.052997536,-0.60699167,79294717,0000,0.65599387,-28672847,0000,0.036975746,-0.17121461,0.017355087
12,851,0000,-0.00033382062,-328,0000,0.00029774804,0.00039595883,0.0001977397,0.0010704309,0.00041611791,-0.022471771,-0.0078899233,0.017532767,0.037071807,0.021079867,0.076954533,-0.79474757,10007647,0000,0.68825586,-37155062,0000,0.0035214996,0.19424348,0.012682564
13,921,0000,-0.00042430143,-800,0000,0.00036204346,0.0005762016,0.000309972,0.0014428408,0.0010339713,-0.027025498,-0.011027731,0.020455756,0.047681723,0.028087125,0.098804611,-11342514,0000,11939217,0000,0.5081264,-42437964,0000,-0.062506618,0.60342303,0.022027611
14,0.00010018812,-0.00054216635,-0.00013224589,0.0004290952,0.00077897465,0.0004438957,0.0018242986,0.0016361153,-0.03340689,-0.014047308,0.023069778,0.058422683,0.035862069,0.11718947,-13631593,0000,14608952,0000,0.36294743,-4979101,0000,-0.15494598,0.81168408,-0.009345047
15,0.00011001519,-0.00070629024,-0.000186894,0.00050867043,0.0010014977,0.00059172116,0.0022185198,0.0022915999,-0.043137901,-0.016702658,0.026413346,0.068990449,0.043472201,0.13317369,-15380552,0000,18130018,0000,0.50947065,-6346203,0000,0.014966373,0.73725746,0.025365128
16,0.00012409662,-0.00091697297,-0.00023962454,0.00060040963,0.0012439625,0.00074949347,0.0026353311,0.0032414225,-0.055578594,-0.01863518,0.030304596,0.07943884,0.050554992,0.14822009,-14145992,0000,22453548,0000,0.7272391,-82550376,0000,0.13205624,0.66149583,0.054401524
17,0.00014321146,-0.0011593539,-0.00028019123,0.00069484535,0.0015017672,0.00091199955,0.0030676619,0.0045046226,-0.068700972,-0.018964813,0.03368725,0.08933154,0.056694602,0.16180915,-16074991,0000,27558965,0000,0.73127185,-10318461,0000,0.2068881,0.93283594,0.087776691
18,0.00016789904,-0.0013958026,-0.00030236204,0.00075938043,0.0017722272,0.001099313,0.0035001726,0.0060724554,-0.078605647,-0.017388931,0.033403308,0.098511238,0.064087024,0.17269839,-17000911,0000,32371174,0000,0.52560164,-12056576,0000,0.047540245,14818575,0000,0.03370892
19,0.00019708062,-0.0016184097,-0.00030206239,0.00079125843,0.0020455634,0.0013224592,0.0039218975,0.0077761221,-0.085145222,-0.01388118,0.029910446,0.10614261,0.073584243,0.1803312,-19495749,0000,35555309,0000,0.38311117,-13442497,0000,0.064267368,19761437,0000,0.022027611
20,0.00023093597,-0.0018295717,-0.00028192892,0.00079665139,0.0023250355,0.0015710121,0.00433781,0.0096064328,-0.089232381,-0.0090915975,0.024467653,0.11286129,0.083722683,0.18585621,-1774679,0000,37618051,0000,0.44763516,-14668453,0000,0.074831867,22778552,0000,-0.0056737785
21,0.00027000462,-0.0020277908,-0.00024477785,0.0007789147,0.0026084384,0.0018289125,0.0047597746,0.011592011,-0.091207817,-0.0035581702,0.017800453,0.11862933,0.092768189,0.19088142,-15972111,0000,38117019,0000,0.55786364,-15794934,0000,0.16991236,24724324,0000,0.012682564
